station_name,section,content,keywords,type
"","Traps（陷阱/警告）","- [Trap] 🚶 **上野圈距離錯覺**：與上野站距離不遠，但走地面依路線不同會有 10+ 分鐘落差。(Advice: 以「目標是 Ueno Park / Ameyoko / かっぱ橋」先決定要往哪個方向出站。)","undefined,Traps（陷阱/警告）,tip","tip"
"","Hacks（技巧/捷徑）","- [Hack] 🎒 **小站策略**：如果你不需要大站轉乘，稻荷町通常比上野更少人。(Advice: 帶行李要找電梯時，小站反而比較快找到對的出口。)","undefined,Hacks（技巧/捷徑）,tip","tip"
"","Traps（陷阱/警告）","- [Trap] 🕒 **日比谷線時段擁擠**：通勤時段車廂與閘門口人流會明顯變慢。(Advice: 趕時間或帶行李，先預留額外 5-8 分鐘緩衝。)","undefined,Traps（陷阱/警告）,tip","tip"
"","Hacks（技巧/捷徑）","- [Hack] 🧭 **把它當「上野/淺草的呼吸點」**：行程在上野與淺草之間時，入谷可做中繼。(Advice: 先用地面導航走到最近的大馬路，再用出口圖修正方向。)","undefined,Hacks（技巧/捷徑）,tip","tip"
"","Traps（陷阱/警告）","- [Trap] 🔀 **地上/地下出入口多**：同一方向可能有多個出入口，走錯會多繞一個街區。(Advice: 先確認目標在「神田側」還是「秋葉原側」，再選出口。)","undefined,Traps（陷阱/警告）,tip","tip"
"","Hacks（技巧/捷徑）","- [Hack] 🧳 **帶行李先鎖定電梯出口**：都營新宿線月台移動距離較長時，臨時改出口很耗時。(Advice: 一開始就選好有電梯的出口路線，不要中途切換。)","undefined,Hacks（技巧/捷徑）,tip","tip"
"","Traps（陷阱/警告）","- [Trap] 🕳️ **大江戶線月台深**：從月台到地面常需要多段電扶梯/電梯。(Advice: 轉乘、趕車、推嬰兒車時，先把上地面時間抓在 3-5 分鐘。)","undefined,Traps（陷阱/警告）,tip","tip"
"","Hacks（技巧/捷徑）","- [Hack] 🌬️ **地上更好走**：地面道路相對寬、視線開闊。(Advice: 如果你在地下找不到方向，先上地面再用導航修正。)","undefined,Hacks（技巧/捷徑）,tip","tip"
"","Traps（陷阱/警告）","- [Trap] 🚶 **「蔵前」同名但站體可能分散**：淺草線與大江戶線出入口不一定在同一點。(Advice: 需要兩線互轉時，先確認你要去的是哪一條線，再抓 6-10 分鐘步行緩衝。)","undefined,Traps（陷阱/警告）,tip","tip"
"","Hacks（技巧/捷徑）","- [Hack] 🗺️ **以「隅田川」做方向感**：如果你知道目的地在河的哪一側，選出口更快。(Advice: 先上地面看河/橋，再決定往哪個街區走。)","undefined,Hacks（技巧/捷徑）,tip","tip"
"","Traps（陷阱/警告）","- [Trap] 🧩 **地下通道選錯就虧時間**：靠近東京站/銀座一帶，地下連通多但指標容易讓人繞遠。(Advice: 先決定你的最終目標是「東京站八重洲側」還是「銀座方向」，再選出口。)","undefined,Traps（陷阱/警告）,tip","tip"
"","Hacks（技巧/捷徑）","- [Hack] 🌧️ **雨天優先走地下**：這一帶地下商場與連通道多。(Advice: 先在站內確認可到哪棟大樓的連通口，再接地面最後 100-300m。)","undefined,Hacks（技巧/捷徑）,tip","tip"
"","Traps（陷阱/警告）","- [Trap] 🕒 **與觀光核心有心理落差**：三ノ輪屬生活圈，步行到熱門景點通常不會很近。(Advice: 先用日比谷線移動到你要的「大站」，再轉乘更穩。)","undefined,Traps（陷阱/警告）,tip","tip"
"","Hacks（技巧/捷徑）","- [Hack] 😌 **避開大站人潮**：作為日比谷線的中繼點，出站/進站壓力通常小於上野、秋葉原。(Advice: 需要買補給或整理行李，這類小站往往更舒服。)","undefined,Hacks（技巧/捷徑）,tip","tip"
